id,iebc_ward_name,count,province,district,division,pcode,status,no,shape_type,status_1,created_at,updated_at,voided,county,constituency
176,Cheptororiet/ Seretut,4,Rift Valley,Kericho,Belgut,KE0177,,959,Polygon,spelling,2026-03-04 16:05:51.685081,2026-03-04 16:27:33.271053,f,Kericho,Belgut
187,Chilchila,6,Rift Valley,Kericho,Chilchila,KE0188,,943,Polygon,,2026-03-04 16:05:51.748349,2026-03-04 16:27:33.417416,f,Kericho,Chilchila
212,Dundori,3,Rift Valley,Nakuru,Bahati,KE0213,,865,Polygon,,2026-03-04 16:05:52.016621,2026-03-04 16:27:33.517696,f,Nakuru,Bahati
230,Ekalakala,4,Eastern,Machakos,Masinga,KE0231,,373,Polygon,,2026-03-04 16:05:52.124483,2026-03-04 16:27:33.691907,f,Machakos,Masinga
238,Eldas,2,North Eastern,Wajir,El-das,KE0239,,180,Polygon,,2026-03-04 16:05:52.16808,2026-03-04 16:27:33.734089,f,Wajir,El-das
250,Endugh,12,Rift Valley,West Pokot,Chepareria,KE0251,,645,Polygon,,2026-03-04 16:05:52.2348,2026-03-04 16:27:33.91697,f,West Pokot,Chepareria
256,Ewalel/Chapchap,9,Rift Valley,Baringo,Kabarnet,KE0257,,796,Polygon,,2026-03-04 16:05:52.319146,2026-03-04 16:27:33.952539,f,Baringo,Kabarnet
265,Gakawa,3,Central,Nyeri,Kieni East,KE0266,,476,Polygon,,2026-03-04 16:05:52.460596,2026-03-04 16:27:34.101806,f,Nyeri,Kieni East
273,Garsen North,6,Coast,Tana River,Garsen,KE0274,,91,Polygon,,2026-03-04 16:05:52.508211,2026-03-04 16:27:34.14835,f,Tana River,Garsen
283,Gatitu/Muruguru,6,Central,Nyeri,Nyeri Municipality,KE0284,,493,Polygon,,2026-03-04 16:05:52.559455,2026-03-04 16:27:34.214093,f,Nyeri,Nyeri Municipality
313,Gombato/Bongwe,2,Coast,Kwale,Msambweni,KE0314,,31,Polygon,,2026-03-04 16:05:52.789985,2026-03-04 16:27:34.501554,f,Kwale,Msambweni
1367,Waita,7,Eastern,Kitui,Migwani,KE1368,,345,Polygon,,2026-03-04 16:05:59.957749,2026-03-04 16:27:41.580524,f,Kitui,Migwani
1370,Waldai,3,Rift Valley,Kericho,Belgut,KE1371,,957,Polygon,,2026-03-04 16:05:59.976737,2026-03-04 16:27:41.585191,f,Kericho,Belgut
202,Dandora Area Two,1,Nairobi,Nairobi,Embakasi,KE0203,,1413,Polygon,,2026-03-04 16:05:51.837622,2026-03-04 16:26:01.706727,f,Nairobi,Embakasi South
1371,Wamagana,15,Central,Nyeri,Tetu,KE1372,,467,Polygon,,2026-03-04 16:05:59.983644,2026-03-04 16:27:41.590208,f,Nyeri,Tetu
1372,Wamba East,6,Rift Valley,Samburu,Wamba,KE1373,,674,Polygon,,2026-03-04 16:05:59.992958,2026-03-04 16:27:41.594995,f,Samburu,Wamba
1373,Wamba North,6,Rift Valley,Samburu,Wamba,KE1374,,675,Polygon,,2026-03-04 16:06:00.017876,2026-03-04 16:27:41.599337,f,Samburu,Wamba
1374,Wamba West,11,Rift Valley,Samburu,Wamba,KE1375,,673,Polygon,,2026-03-04 16:06:00.028698,2026-03-04 16:27:41.603948,f,Samburu,Wamba
1375,Wamumu,1,Central,Kirinyaga,Mwea,KE1376,,499,Polygon,,2026-03-04 16:06:00.040118,2026-03-04 16:27:41.608801,f,Kirinyaga,Mwea
